"id","order_date","order_name","delivery_charges","order_total","createdAt","updatedAt"
"cmnffeff50000jxiprq2cxtka","2026-01-14 18:30:00.000","ORD-SAMPLE-001","50.00","550.00","2026-04-01 02:27:43.889","2026-04-01 02:27:43.889"
"cmnffefqx0003jxip8jk09rl2","2026-01-19 18:30:00.000","ORD-SAMPLE-002","0.00","1200.00","2026-04-01 02:27:44.314","2026-04-01 02:27:44.314"
"cmnfmkzuh002ojxxwn9krq3an","2025-10-31 18:30:00.000","ORD-0001","0.00","3113.00","2026-04-01 05:48:47.609","2026-04-01 05:48:47.609"
"cmnfml05g002rjxxw4fmy7ho9","2025-11-01 18:30:00.000","ORD-0002","0.00","3024.00","2026-04-01 05:48:48.005","2026-04-01 05:48:48.005"
"cmnfml0ay002ujxxwhkyosyjn","2025-11-02 18:30:00.000","ORD-0003","0.00","2882.00","2026-04-01 05:48:48.202","2026-04-01 05:48:48.202"
"cmnfml0i8002yjxxwchn0wv50","2025-11-03 18:30:00.000","ORD-0004","30.00","2396.00","2026-04-01 05:48:48.465","2026-04-01 05:48:48.465"
"cmnfml0nx0031jxxwl39d1dgl","2025-11-04 18:30:00.000","ORD-0005","30.00","4099.00","2026-04-01 05:48:48.669","2026-04-01 05:48:48.669"
"cmnfml0us0036jxxwc36mvqq3","2025-11-05 18:30:00.000","ORD-0006","50.00","5852.00","2026-04-01 05:48:48.917","2026-04-01 05:48:48.917"
"cmnfml10d003bjxxwrn23os44","2025-11-06 18:30:00.000","ORD-0007","50.00","2590.00","2026-04-01 05:48:49.118","2026-04-01 05:48:49.118"
"cmnfml154003fjxxwyx8bg50v","2025-11-07 18:30:00.000","ORD-0008","30.00","3484.00","2026-04-01 05:48:49.288","2026-04-01 05:48:49.288"
"cmnfml19t003jjxxwqhr1a2r2","2025-11-08 18:30:00.000","ORD-0009","0.00","2930.00","2026-04-01 05:48:49.457","2026-04-01 05:48:49.457"
"cmnfml1fx003njxxwfcvuy7ao","2025-11-09 18:30:00.000","ORD-0010","50.00","4960.00","2026-04-01 05:48:49.678","2026-04-01 05:48:49.678"
"cmnfml1np003ujxxwy14n8hqx","2025-11-10 18:30:00.000","ORD-0011","0.00","5290.00","2026-04-01 05:48:49.957","2026-04-01 05:48:49.957"
"cmnfml1tb003zjxxw4ned5pms","2025-11-11 18:30:00.000","ORD-0012","0.00","839.00","2026-04-01 05:48:50.160","2026-04-01 05:48:50.160"
"cmnfml1z80043jxxwv1dk844f","2025-11-12 18:30:00.000","ORD-0013","30.00","1587.00","2026-04-01 05:48:50.372","2026-04-01 05:48:50.372"
"cmnfml2740045jxxwg54i9mwv","2025-11-13 18:30:00.000","ORD-0014","0.00","4972.00","2026-04-01 05:48:50.657","2026-04-01 05:48:50.657"
"cmnfml2f8004djxxwj688526a","2025-11-14 18:30:00.000","ORD-0015","50.00","5102.00","2026-04-01 05:48:50.949","2026-04-01 05:48:50.949"
"cmnfml2n3004jjxxwlmx7a7b7","2025-11-15 18:30:00.000","ORD-0016","30.00","1571.00","2026-04-01 05:48:51.232","2026-04-01 05:48:51.232"
"cmnfml2sp004mjxxwevm5fubt","2025-11-16 18:30:00.000","ORD-0017","30.00","2155.00","2026-04-01 05:48:51.433","2026-04-01 05:48:51.433"
"cmnfml2xv004pjxxw2p2dtobl","2025-11-17 18:30:00.000","ORD-0018","50.00","1611.00","2026-04-01 05:48:51.619","2026-04-01 05:48:51.619"
"cmnfml332004rjxxwxmynyh53","2025-11-18 18:30:00.000","ORD-0019","30.00","5730.00","2026-04-01 05:48:51.806","2026-04-01 05:48:51.806"
"cmnfml396004zjxxwvw2vto7e","2025-11-19 18:30:00.000","ORD-0020","30.00","4723.00","2026-04-01 05:48:52.027","2026-04-01 05:48:52.027"
"cmnfml3eu0055jxxwnkqlhkbk","2025-11-20 18:30:00.000","ORD-0021","0.00","964.00","2026-04-01 05:48:52.231","2026-04-01 05:48:52.231"
"cmnfml3kh0057jxxwvdko85ol","2025-11-30 18:30:00.000","ORD-0022","30.00","3866.00","2026-04-01 05:48:52.433","2026-04-01 05:48:52.433"
"cmnfml3pt005cjxxwieuyyipy","2025-12-01 18:30:00.000","ORD-0023","30.00","3196.00","2026-04-01 05:48:52.625","2026-04-01 05:48:52.625"
"cmnfml3vf005gjxxwe9g98bd9","2025-12-02 18:30:00.000","ORD-0024","0.00","5890.00","2026-04-01 05:48:52.827","2026-04-01 05:48:52.827"
