"id","order_id","line_index","item_name","amount"
"cmnffeff50001jxipza7jtvy7","cmnffeff50000jxiprq2cxtka","0","Product Alpha","250.00"
"cmnffeff50002jxipr9a928qd","cmnffeff50000jxiprq2cxtka","1","Product Beta","250.00"
"cmnffefqx0004jxip6nrag2fw","cmnffefqx0003jxip8jk09rl2","0","Single line item","1200.00"
"cmnfmkzuh002pjxxwhc8izsf0","cmnfmkzuh002ojxxwn9krq3an","0","lemon juice","1823.00"
"cmnfmkzuh002qjxxwk9azh97n","cmnfmkzuh002ojxxwn9krq3an","1","Brown Aigamo Rice","1290.00"
"cmnfml05g002sjxxwfrjp8nro","cmnfml05g002rjxxw4fmy7ho9","0","lemon ginger juice","1734.00"
"cmnfml05g002tjxxwzn6vqeul","cmnfml05g002rjxxw4fmy7ho9","1","Moringa Salt","1290.00"
"cmnfml0ay002vjxxw7fw7ip21","cmnfml0ay002ujxxwhkyosyjn","0","soy miso","1715.00"
"cmnfml0ay002wjxxwdlw6wvhk","cmnfml0ay002ujxxwhkyosyjn","1","Brown Aigamo Rice","162.00"
"cmnfml0ay002xjxxw5s8q0lt3","cmnfml0ay002ujxxwhkyosyjn","2","cracked rice","1005.00"
"cmnfml0i8002zjxxwi9kjgg51","cmnfml0i8002yjxxwchn0wv50","0","cracked rice","925.00"
"cmnfml0i80030jxxwuylhabq9","cmnfml0i8002yjxxwchn0wv50","1","soy miso","1441.00"
"cmnfml0nx0032jxxwlr5jzppd","cmnfml0nx0031jxxwl39d1dgl","0","Brown Aigamo Rice","1398.00"
"cmnfml0nx0033jxxwt3j2dcmn","cmnfml0nx0031jxxwl39d1dgl","1","cracked rice","1112.00"
"cmnfml0nx0034jxxwgyphqeqa","cmnfml0nx0031jxxwl39d1dgl","2","Soy Sauce","950.00"
"cmnfml0nx0035jxxwizh3ubrl","cmnfml0nx0031jxxwl39d1dgl","3","mixed miso","609.00"
"cmnfml0ut0037jxxw94gl6j1r","cmnfml0us0036jxxwc36mvqq3","0","Soy Sauce","1451.00"
"cmnfml0ut0038jxxwxjhc8yyg","cmnfml0us0036jxxwc36mvqq3","1","cracked rice","1970.00"
"cmnfml0ut0039jxxwkye1k35a","cmnfml0us0036jxxwc36mvqq3","2","lemon ginger juice","1407.00"
"cmnfml0ut003ajxxwmnkvjuj0","cmnfml0us0036jxxwc36mvqq3","3","Aigamo rice","974.00"
"cmnfml10d003cjxxwjngh9sjn","cmnfml10d003bjxxwrn23os44","0","lemon juice","791.00"
